1,5,0,2
2,9,3,1
3,6,6,3
80,60,98,9
52,72,81,99
6,22,14,18
3,90,29,87
8,85,55,31
50,40,33,31
1,68,41,53
48,12,4,88
71,52,86,69
50,61,49,16
35,92,34,60
65,18,25,17
47,69,28,65
82,13,44,16
61,7,73,50
66,56,34,29
29,88,5,76
75,28,12,88
55,99,42,0
67,72,57,85
3,17,39,60
17,33,72,50
39,91,35,6
58,21,22,73
60,84,15,54
69,60,26,79
97,31,82,87
78,82,57,54
24,68,98,51
84,7,55,16
95,97,93,30
34,59,16,42
28,67,34,26
22,92,81,53
52,73,21,8
35,62,47,68
17,39,81,44
23,44,83,64
69,61,60,84
77,63,86,39
1,72,81,43
56,70,72,69
28,3,60,87
4,20,87,16
14,40,94,40
29,88,33,56
77,77,14,3
3,96,78,33
86,41,85,88
40,29,0,68
37,21,83,98
86,25,93,63
74,7,97,5
87,73,27,40
98,87,90,22
97,71,97,24
58,72,55,92
18,34,61,78
2,13,4,72
23,81,82,5
40,33,80,97
68,9,80,84
38,31,90,54
46,59,68,78
12,98,66,35
7,32,57,17
31,59,97,53
37,55,77,48
30,26,52,43
42,84,27,13
6,96,3,51
54,32,96,20
25,96,51,30
6,46,47,14
77,94,96,62
3,21,81,6
85,89,56,35
85,44,4,93
12,66,1,45
65,11,90,60
49,44,32,19
82,11,68,57
35,87,91,67
13,2,68,47
97,59,11,45
77,20,56,64
13,76,99,83
93,68,96,17
0,46,71,93
89,71,97,85
79,98,47,70
29,61,60,38
84,59,99,28
10,91,91,41
37,78,52,37
91,99,70,75
44,36,34,42
61,78,60,68
72,35,35,6
43,36,12,8
